Song,Album,Year,Image
"""White Christmas""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
"""I'm Only Me When I'm with You""",Taylor Swift,2007,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Invisible""",Taylor Swift,2007,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""A Perfectly Good Heart""",Taylor Swift,2007,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Change""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Beautiful Eyes""",Beautiful Eyes,2008,https://en.wikipedia.org/wiki/Beautiful_Eyes#/media/File:Beautiful_Eyes.png
"""I HeartåÊ?""",Beautiful Eyes,2008,https://en.wikipedia.org/wiki/Beautiful_Eyes#/media/File:Beautiful_Eyes.png
"""The Best Day""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Breathe""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Fearless""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Fifteen""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Forever & Always""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Hey Stephen""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Love Story""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Tell Me Why""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""The Way I Loved You""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""White Horse""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""You Belong with Me""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""You're Not Sorry""",Fearless,2008,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Umbrella""åÊ(Live cover)",iTunes Live from SoHo,2008,https://is2-ssl.mzstatic.com/image/thumb/Music/9c/50/69/dj.ynaikoce.jpg/600x600bf.jpg
"""American Girl""åÊ(Cover)",None,2009,https://static.stereogum.com/uploads/2014/11/taylor-swift-blank-space-video-640x468.jpg
"""Half of My Heart""",Battle Studies,2009,https://en.wikipedia.org/wiki/Battle_Studies_(album)#/media/File:JohnMayerBattleStudies.jpg
"""Come in with the Rain""",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Forever & Always""åÊ(Piano version)",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""The Other Side of the Door""",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Superstar""",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Untouchable""",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Jump Then Fall""",Fearless,2009,https://en.wikipedia.org/wiki/Fearless_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Fearless.png
"""Crazier""",Hannah Montana: The Movie,2009,https://en.wikipedia.org/wiki/Hannah_Montana:_The_Movie_(soundtrack)#/media/File:Hannah_Montana_The_Movie_soundtrack.png
"""Two Is Better Than One""",Love Drunk,2009,https://en.wikipedia.org/wiki/Love_Drunk#/media/File:Love_Drunk_cover.jpg
"""Breathless""",Hope for Haiti Now,2010,https://en.wikipedia.org/wiki/Hope_for_Haiti_Now_(album)#/media/File:Hope_for_Haiti_Now_cover.jpg
"""Back to December""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Better than Revenge""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Dear John""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Enchanted""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Haunted""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Innocent""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Last Kiss""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Long Live""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Mean""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Mine""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Never Grow Up""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Sparks Fly""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Speak Now""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""The Story of Us""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Superman""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""If This Was a Movie""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Ours""",Speak Now,2010,https://en.wikipedia.org/wiki/Speak_Now#/media/File:Taylor_Swift_-_Speak_Now_cover.png
"""Today Was a Fairytale""",Valentine's Day,2010,https://en.wikipedia.org/wiki/Valentine%27s_Day_(soundtrack)#/media/File:Valentine%27s_Day_(Original_Motion_Picture_Soundtrack).jpg
"""Safe & Sound""",The Hunger Games,2011,https://en.wikipedia.org/wiki/The_Hunger_Games:_Songs_from_District_12_and_Beyond#/media/File:The_Hunger_Games_soundtrack_cover.png
"""Bette Davis Eyes""åÊ(Live cover)",Speak Now World Tour ‰ÛÒ Live,2011,https://upload.wikimedia.org/wikipedia/en/e/e9/Taylor_Swift_-_Speak_Now_World_Tour_-_Live.png
"""Drops of Jupiter""åÊ(Live cover)",Speak Now World Tour ‰ÛÒ Live,2011,https://upload.wikimedia.org/wikipedia/en/e/e9/Taylor_Swift_-_Speak_Now_World_Tour_-_Live.png
"""I Want You Back""åÊ(Live)",Speak Now World Tour ‰ÛÒ Live,2011,https://upload.wikimedia.org/wikipedia/en/e/e9/Taylor_Swift_-_Speak_Now_World_Tour_-_Live.png
"""Ronan""",None,2012,https://static.stereogum.com/uploads/2014/11/taylor-swift-blank-space-video-640x468.jpg
"""Eyes Open""",The Hunger Games,2012,https://en.wikipedia.org/wiki/The_Hunger_Games:_Songs_from_District_12_and_Beyond#/media/File:The_Hunger_Games_soundtrack_cover.png
"""22""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""All Too Well""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Begin Again""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Everything Has Changed""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Holy Ground""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""I Almost Do""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""I Knew You Were Trouble""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""The Last Time""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""The Lucky One""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Red""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Sad Beautiful Tragic""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Starlight""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""State of Grace""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Stay Stay Stay""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Treacherous""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""We Are Never Ever Getting Back Together""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Come Back... Be Here""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Girl at Home""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""The Moment I Knew""",Red,2012,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png
"""Long Live""",Speak Now World Tour ‰ÛÒ Live,2012,https://upload.wikimedia.org/wikipedia/en/e/e9/Taylor_Swift_-_Speak_Now_World_Tour_-_Live.png
"""Both of Us""",Strange Clouds,2012,https://en.wikipedia.org/wiki/Strange_Clouds_(album)#/media/File:B.o.B_-_Strange_Clouds_-_LP_Cover.jpg
"""Sweeter Than Fiction""",One Chance Soundtrack,2013,https://en.wikipedia.org/wiki/One_Chance_(film)#/media/File:One_Chance_2013.jpg
"""Highway Don't Care""",Two Lanes of Freedom,2013,https://upload.wikimedia.org/wikipedia/en/8/8f/Twolanes.jpg
"""All You Had to Do Was Stay""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Bad Blood""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Blank Space""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Clean""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""How You Get the Girl""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""I Know Places""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""I Wish You Would""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Out of the Woods""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Shake It Off""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Style""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""This Love""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Welcome to New York""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Wildest Dreams""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""New Romantics""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Wonderland""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""You Are in Love""",1989,2014,https://en.wikipedia.org/wiki/1989_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_1989.png
"""Bad Blood"" (Remix)",None,2015,https://static.stereogum.com/uploads/2014/11/taylor-swift-blank-space-video-640x468.jpg
"""I Don't Wanna Live Forever""",Fifty Shades Darker: Original Motion Picture Soundtrack,2016,https://en.wikipedia.org/wiki/Fifty_Shades_Darker:_Original_Motion_Picture_Soundtrack#/media/File:Fifty_Shades_Darker-_Original_Motion_Picture_Soundtrack.png
"""Call It What You Want""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Dancing with Our Hands Tied""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Delicate""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Don't Blame Me""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Dress""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""End Game""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Getaway Car""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Gorgeous""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""I Did Something Bad""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""King of My Heart""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""Look What You Made Me Do""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""New Year's Day""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""...Ready for It?""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""So It Goes...""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
"""This Is Why We Can't Have Nice Things""",Reputation,2017,https://en.wikipedia.org/wiki/Reputation_(Taylor_Swift_album)#/media/File:Taylor_Swift_-_Reputation.png
